fecha;cod_producto;stock_disponible
2020-07;MRC-4T-4L;24
2020-08;MRC-4T-4L;24
2020-09;MRC-4T-4L;24
2020-10;MRC-4T-4L;24
2020-11;MRC-4T-4L;24
2020-12;MRC-4T-4L;24
2021-01;MRC-4T-4L;25
2021-02;MRC-4T-4L;25
2021-03;MRC-4T-4L;24
2021-04;MRC-4T-4L;25
2021-05;MRC-4T-4L;25
2021-06;MRC-4T-4L;24
2021-07;MRC-4T-4L;24
2021-08;MRC-4T-4L;25
2021-09;MRC-4T-4L;24
2021-10;MRC-4T-4L;24
2021-11;MRC-4T-4L;25
2021-12;MRC-4T-4L;24
2022-01;MRC-4T-4L;25
2022-02;MRC-4T-4L;25
2022-03;MRC-4T-4L;25
2022-04;MRC-4T-4L;25
2022-05;MRC-4T-4L;25
2022-06;MRC-4T-4L;25
2022-07;MRC-4T-4L;25
2022-08;MRC-4T-4L;25
2022-09;MRC-4T-4L;25
2022-10;MRC-4T-4L;25
2022-11;MRC-4T-4L;25
2022-12;MRC-4T-4L;25
2023-01;MRC-4T-4L;26
2023-02;MRC-4T-4L;25
2023-03;MRC-4T-4L;25
2023-04;MRC-4T-4L;26
2023-05;MRC-4T-4L;25
2023-06;MRC-4T-4L;25
2023-07;MRC-4T-4L;26
2023-08;MRC-4T-4L;25
2023-09;MRC-4T-4L;25
2023-10;MRC-4T-4L;26
2023-11;MRC-4T-4L;26
2023-12;MRC-4T-4L;25
2024-01;MRC-4T-4L;26
2024-02;MRC-4T-4L;26
2024-03;MRC-4T-4L;26
2024-04;MRC-4T-4L;26
2024-05;MRC-4T-4L;26
2024-06;MRC-4T-4L;26
2024-07;MRC-4T-4L;26
2024-08;MRC-4T-4L;26
2024-09;MRC-4T-4L;26
2024-10;MRC-4T-4L;26
2024-11;MRC-4T-4L;26
2024-12;MRC-4T-4L;26
2025-01;MRC-4T-4L;26
2025-02;MRC-4T-4L;26
2025-03;MRC-4T-4L;27
2025-04;MRC-4T-4L;26
2025-05;MRC-4T-4L;26
2025-06;MRC-4T-4L;26
2025-07;MRC-4T-4L;26
2025-08;MRC-4T-4L;26
2025-09;MRC-4T-4L;26
2025-10;MRC-4T-4L;27
2025-11;MRC-4T-4L;26
2025-12;MRC-4T-4L;26
2020-01;MRC-4T-25L;8
2020-02;MRC-4T-25L;8
2020-03;MRC-4T-25L;8
2020-04;MRC-4T-25L;8
2020-05;MRC-4T-25L;8
2020-06;MRC-4T-25L;8
2020-07;MRC-4T-25L;8
2020-08;MRC-4T-25L;8
2020-09;MRC-4T-25L;8
2020-10;MRC-4T-25L;8
2020-11;MRC-4T-25L;8
2020-12;MRC-4T-25L;8
2021-01;MRC-4T-25L;8
2021-02;MRC-4T-25L;8
2021-03;MRC-4T-25L;8
2021-04;MRC-4T-25L;8
2021-05;MRC-4T-25L;8
2021-06;MRC-4T-25L;8
2021-07;MRC-4T-25L;8
2021-08;MRC-4T-25L;8
2021-09;MRC-4T-25L;8
2021-10;MRC-4T-25L;8
2021-11;MRC-4T-25L;8
2021-12;MRC-4T-25L;8
2022-01;MRC-4T-25L;8
2022-02;MRC-4T-25L;8
2022-03;MRC-4T-25L;8
2022-04;MRC-4T-25L;8
2022-05;MRC-4T-25L;8
2022-06;MRC-4T-25L;8
2022-07;MRC-4T-25L;8
2022-08;MRC-4T-25L;8
2022-09;MRC-4T-25L;8
2022-10;MRC-4T-25L;8
2022-11;MRC-4T-25L;8
2022-12;MRC-4T-25L;8
2023-01;MRC-4T-25L;8
2023-02;MRC-4T-25L;9
2023-03;MRC-4T-25L;8
2023-04;MRC-4T-25L;8
2023-05;MRC-4T-25L;9
2023-06;MRC-4T-25L;8
2023-07;MRC-4T-25L;8
2023-08;MRC-4T-25L;9
2023-09;MRC-4T-25L;9
2023-10;MRC-4T-25L;8
2023-11;MRC-4T-25L;8
2023-12;MRC-4T-25L;9
2024-01;MRC-4T-25L;9
2024-02;MRC-4T-25L;9
2024-03;MRC-4T-25L;9
2024-04;MRC-4T-25L;9
2024-05;MRC-4T-25L;9
2024-06;MRC-4T-25L;9
2024-07;MRC-4T-25L;9
2024-08;MRC-4T-25L;9
2024-09;MRC-4T-25L;9
2024-10;MRC-4T-25L;9
2024-11;MRC-4T-25L;9
2024-12;MRC-4T-25L;9
2025-01;MRC-4T-25L;9
2025-02;MRC-4T-25L;9
2025-03;MRC-4T-25L;9
2025-04;MRC-4T-25L;9
2025-05;MRC-4T-25L;9
2025-06;MRC-4T-25L;9
2025-07;MRC-4T-25L;9
2025-08;MRC-4T-25L;9
2025-09;MRC-4T-25L;9
2025-10;MRC-4T-25L;9
2025-11;MRC-4T-25L;9
2025-12;MRC-4T-25L;9
2020-01;MRC-2T-1L;45
2020-02;MRC-2T-1L;45
2020-03;MRC-2T-1L;45
2020-04;MRC-2T-1L;45
2020-05;MRC-2T-1L;45
2020-06;MRC-2T-1L;45
2020-07;MRC-2T-1L;45
2020-08;MRC-2T-1L;45
2020-09;MRC-2T-1L;45
2020-10;MRC-2T-1L;45
2020-11;MRC-2T-1L;45
2020-12;MRC-2T-1L;45
2021-01;MRC-2T-1L;46
2021-02;MRC-2T-1L;46
2021-03;MRC-2T-1L;46
2021-04;MRC-2T-1L;46
2021-05;MRC-2T-1L;46
2021-06;MRC-2T-1L;46
2021-07;MRC-2T-1L;46
2021-08;MRC-2T-1L;46
2021-09;MRC-2T-1L;46
2021-10;MRC-2T-1L;46
2021-11;MRC-2T-1L;46
2021-12;MRC-2T-1L;46
2022-01;MRC-2T-1L;47
2022-02;MRC-2T-1L;47
2022-03;MRC-2T-1L;46
2022-04;MRC-2T-1L;47
2022-05;MRC-2T-1L;47
2022-06;MRC-2T-1L;47
2022-07;MRC-2T-1L;47
2022-08;MRC-2T-1L;47
2022-09;MRC-2T-1L;47
2022-10;MRC-2T-1L;47
2022-11;MRC-2T-1L;47
2022-12;MRC-2T-1L;47
2023-01;MRC-2T-1L;48
2023-02;MRC-2T-1L;48
2023-03;MRC-2T-1L;47
2023-04;MRC-2T-1L;48
2023-05;MRC-2T-1L;48
2023-06;MRC-2T-1L;47
2023-07;MRC-2T-1L;48
2023-08;MRC-2T-1L;48
2023-09;MRC-2T-1L;47
2023-10;MRC-2T-1L;48
2023-11;MRC-2T-1L;48
2023-12;MRC-2T-1L;48
2024-01;MRC-2T-1L;49
2024-02;MRC-2T-1L;49
2024-03;MRC-2T-1L;48
2024-04;MRC-2T-1L;49
2024-05;MRC-2T-1L;49
2024-06;MRC-2T-1L;48
2024-07;MRC-2T-1L;49
2024-08;MRC-2T-1L;49
2024-09;MRC-2T-1L;48
2024-10;MRC-2T-1L;49
2024-11;MRC-2T-1L;49
2024-12;MRC-2T-1L;48
2025-01;MRC-2T-1L;50
2025-02;MRC-2T-1L;49
2025-03;MRC-2T-1L;49
2025-04;MRC-2T-1L;50
2025-05;MRC-2T-1L;49
2025-06;MRC-2T-1L;49
2025-07;MRC-2T-1L;50
2025-08;MRC-2T-1L;50
2025-09;MRC-2T-1L;49
2025-10;MRC-2T-1L;50
2025-11;MRC-2T-1L;50
2025-12;MRC-2T-1L;49
2020-01;QSV-HPS-1L;21
2020-02;QSV-HPS-1L;21
2020-03;QSV-HPS-1L;21
2020-04;QSV-HPS-1L;21
2020-05;QSV-HPS-1L;21
2020-06;QSV-HPS-1L;21
2020-07;QSV-HPS-1L;21
2020-08;QSV-HPS-1L;21
2020-09;QSV-HPS-1L;21
2020-10;QSV-HPS-1L;21
2020-11;QSV-HPS-1L;21
2020-12;QSV-HPS-1L;21
2021-01;QSV-HPS-1L;21
2021-02;QSV-HPS-1L;21
2021-03;QSV-HPS-1L;21
2021-04;QSV-HPS-1L;22
2021-05;QSV-HPS-1L;21
2021-06;QSV-HPS-1L;21
2021-07;QSV-HPS-1L;22
2021-08;QSV-HPS-1L;21
2021-09;QSV-HPS-1L;21
2021-10;QSV-HPS-1L;22
2021-11;QSV-HPS-1L;21
2021-12;QSV-HPS-1L;21
2022-01;QSV-HPS-1L;22
2022-02;QSV-HPS-1L;22
2022-03;QSV-HPS-1L;22
2022-04;QSV-HPS-1L;22
2022-05;QSV-HPS-1L;22
2022-06;QSV-HPS-1L;22
2022-07;QSV-HPS-1L;22
2022-08;QSV-HPS-1L;22
2022-09;QSV-HPS-1L;22
2022-10;QSV-HPS-1L;22
2022-11;QSV-HPS-1L;22
2022-12;QSV-HPS-1L;22
2023-01;QSV-HPS-1L;22
2023-02;QSV-HPS-1L;22
2023-03;QSV-HPS-1L;22
2023-04;QSV-HPS-1L;22
2023-05;QSV-HPS-1L;22
2023-06;QSV-HPS-1L;22
2023-07;QSV-HPS-1L;22
2023-08;QSV-HPS-1L;22
2023-09;QSV-HPS-1L;22
2023-10;QSV-HPS-1L;22
2023-11;QSV-HPS-1L;22
2023-12;QSV-HPS-1L;22
2024-01;QSV-HPS-1L;23
2024-02;QSV-HPS-1L;23
2024-03;QSV-HPS-1L;22
2024-04;QSV-HPS-1L;23
2024-05;QSV-HPS-1L;23
2024-06;QSV-HPS-1L;23
2024-07;QSV-HPS-1L;23
2024-08;QSV-HPS-1L;23
2024-09;QSV-HPS-1L;23
2024-10;QSV-HPS-1L;23
2024-11;QSV-HPS-1L;23
2024-12;QSV-HPS-1L;23
2025-01;QSV-HPS-1L;23
2025-02;QSV-HPS-1L;23
2025-03;QSV-HPS-1L;23
2025-04;QSV-HPS-1L;23
2025-05;QSV-HPS-1L;23
2025-06;QSV-HPS-1L;23
2025-07;QSV-HPS-1L;23
2025-08;QSV-HPS-1L;23
2025-09;QSV-HPS-1L;23
2025-10;QSV-HPS-1L;23
2025-11;QSV-HPS-1L;23
2025-12;QSV-HPS-1L;23
2020-01;QSV-PST-200;15
2020-02;QSV-PST-200;15
2020-03;QSV-PST-200;15
2020-04;QSV-PST-200;15
2020-05;QSV-PST-200;15
2020-06;QSV-PST-200;15
2020-07;QSV-PST-200;15
2020-08;QSV-PST-200;15
2020-09;QSV-PST-200;15
2020-10;QSV-PST-200;15
2020-11;QSV-PST-200;15
2020-12;QSV-PST-200;15
2021-01;QSV-PST-200;15
2021-02;QSV-PST-200;15
2021-03;QSV-PST-200;15
2021-04;QSV-PST-200;15
2021-05;QSV-PST-200;15
2021-06;QSV-PST-200;15
2021-07;QSV-PST-200;15
2021-08;QSV-PST-200;15
2021-09;QSV-PST-200;15
2021-10;QSV-PST-200;15
2021-11;QSV-PST-200;15
2021-12;QSV-PST-200;15
2022-01;QSV-PST-200;16
2022-02;QSV-PST-200;16
2022-03;QSV-PST-200;15
2022-04;QSV-PST-200;16
2022-05;QSV-PST-200;16
2022-06;QSV-PST-200;15
2022-07;QSV-PST-200;16
2022-08;QSV-PST-200;16
2022-09;QSV-PST-200;16
2022-10;QSV-PST-200;16
2022-11;QSV-PST-200;16
2022-12;QSV-PST-200;16
2023-01;QSV-PST-200;16
2023-02;QSV-PST-200;16
2023-03;QSV-PST-200;16
2023-04;QSV-PST-200;16
2023-05;QSV-PST-200;16
2023-06;QSV-PST-200;16
2023-07;QSV-PST-200;16
2023-08;QSV-PST-200;16
2023-09;QSV-PST-200;16
2023-10;QSV-PST-200;16
2023-11;QSV-PST-200;16
2023-12;QSV-PST-200;16
2024-01;QSV-PST-200;16
2024-02;QSV-PST-200;16
2024-03;QSV-PST-200;16
2024-04;QSV-PST-200;16
2024-05;QSV-PST-200;16
2024-06;QSV-PST-200;16
2024-07;QSV-PST-200;16
2024-08;QSV-PST-200;16
2024-09;QSV-PST-200;16
2024-10;QSV-PST-200;16
2024-11;QSV-PST-200;16
2024-12;QSV-PST-200;16
2025-01;QSV-PST-200;17
2025-02;QSV-PST-200;16
2025-03;QSV-PST-200;16
2025-04;QSV-PST-200;17
2025-05;QSV-PST-200;16
2025-06;QSV-PST-200;16
2025-07;QSV-PST-200;17
2025-08;QSV-PST-200;16
2025-09;QSV-PST-200;16
2025-10;QSV-PST-200;17
2025-11;QSV-PST-200;17
2025-12;QSV-PST-200;16
2020-01;QSV-ANF-1L;27
2020-02;QSV-ANF-1L;27
2020-03;QSV-ANF-1L;27
2020-04;QSV-ANF-1L;27
2020-05;QSV-ANF-1L;27
2020-06;QSV-ANF-1L;27
2020-07;QSV-ANF-1L;27
2020-08;QSV-ANF-1L;27
2020-09;QSV-ANF-1L;27
2020-10;QSV-ANF-1L;27
2020-11;QSV-ANF-1L;27
2020-12;QSV-ANF-1L;27
2021-01;QSV-ANF-1L;28
2021-02;QSV-ANF-1L;28
2021-03;QSV-ANF-1L;27
2021-04;QSV-ANF-1L;27
2021-05;QSV-ANF-1L;28
2021-06;QSV-ANF-1L;27
2021-07;QSV-ANF-1L;27
2021-08;QSV-ANF-1L;28
2021-09;QSV-ANF-1L;28
2021-10;QSV-ANF-1L;27
2021-11;QSV-ANF-1L;28
2021-12;QSV-ANF-1L;28
2022-01;QSV-ANF-1L;28
2022-02;QSV-ANF-1L;28
2022-03;QSV-ANF-1L;28
2022-04;QSV-ANF-1L;28
2022-05;QSV-ANF-1L;28
2022-06;QSV-ANF-1L;28
2022-07;QSV-ANF-1L;28
2022-08;QSV-ANF-1L;28
2022-09;QSV-ANF-1L;28
2022-10;QSV-ANF-1L;28
2022-11;QSV-ANF-1L;28
2022-12;QSV-ANF-1L;28
2023-01;QSV-ANF-1L;29
2023-02;QSV-ANF-1L;28
2023-03;QSV-ANF-1L;29
2023-04;QSV-ANF-1L;29
2023-05;QSV-ANF-1L;29
2023-06;QSV-ANF-1L;29
2023-07;QSV-ANF-1L;29
2023-08;QSV-ANF-1L;29
2023-09;QSV-ANF-1L;28
2023-10;QSV-ANF-1L;29
2023-11;QSV-ANF-1L;29
2023-12;QSV-ANF-1L;28
2024-01;QSV-ANF-1L;29
2024-02;QSV-ANF-1L;29
2024-03;QSV-ANF-1L;29
2024-04;QSV-ANF-1L;29
2024-05;QSV-ANF-1L;29
2024-06;QSV-ANF-1L;29
2024-07;QSV-ANF-1L;29
2024-08;QSV-ANF-1L;29
2024-09;QSV-ANF-1L;29
2024-10;QSV-ANF-1L;29
2024-11;QSV-ANF-1L;29
2024-12;QSV-ANF-1L;29
2025-01;QSV-ANF-1L;29
2025-02;QSV-ANF-1L;30
2025-03;QSV-ANF-1L;30
2025-04;QSV-ANF-1L;30
2025-05;QSV-ANF-1L;30
2025-06;QSV-ANF-1L;30
2025-07;QSV-ANF-1L;30
2025-08;QSV-ANF-1L;30
2025-09;QSV-ANF-1L;30
2025-10;QSV-ANF-1L;30
2025-11;QSV-ANF-1L;29
2025-12;QSV-ANF-1L;30
2020-01;MRC-DFI-4L;12
2020-02;MRC-DFI-4L;12
2020-03;MRC-DFI-4L;12
2020-04;MRC-DFI-4L;12
2020-05;MRC-DFI-4L;12
2020-06;MRC-DFI-4L;12
2020-07;MRC-DFI-4L;12
2020-08;MRC-DFI-4L;12
2020-09;MRC-DFI-4L;12
2020-10;MRC-DFI-4L;12
2020-11;MRC-DFI-4L;12
2020-12;MRC-DFI-4L;12
2021-01;MRC-DFI-4L;12
2021-02;MRC-DFI-4L;12
2021-03;MRC-DFI-4L;12
2021-04;MRC-DFI-4L;12
2021-05;MRC-DFI-4L;12
2021-06;MRC-DFI-4L;12
2021-07;MRC-DFI-4L;12
2021-08;MRC-DFI-4L;12
2021-09;MRC-DFI-4L;12
2021-10;MRC-DFI-4L;12
2021-11;MRC-DFI-4L;12
2021-12;MRC-DFI-4L;12
2022-01;MRC-DFI-4L;12
2022-02;MRC-DFI-4L;12
2022-03;MRC-DFI-4L;13
2022-04;MRC-DFI-4L;13
2022-05;MRC-DFI-4L;12
2022-06;MRC-DFI-4L;12
2022-07;MRC-DFI-4L;13
2022-08;MRC-DFI-4L;12
2022-09;MRC-DFI-4L;12
2022-10;MRC-DFI-4L;13
2022-11;MRC-DFI-4L;12
2022-12;MRC-DFI-4L;12
2023-01;MRC-DFI-4L;13
2023-02;MRC-DFI-4L;13
2023-03;MRC-DFI-4L;13
2023-04;MRC-DFI-4L;13
2023-05;MRC-DFI-4L;13
2023-06;MRC-DFI-4L;13
2023-07;MRC-DFI-4L;13
2023-08;MRC-DFI-4L;13
2023-09;MRC-DFI-4L;13
2023-10;MRC-DFI-4L;13
2023-11;MRC-DFI-4L;13
2023-12;MRC-DFI-4L;13
2024-01;MRC-DFI-4L;13
2024-02;MRC-DFI-4L;13
2024-03;MRC-DFI-4L;13
2024-04;MRC-DFI-4L;13
2024-05;MRC-DFI-4L;13
2024-06;MRC-DFI-4L;13
2024-07;MRC-DFI-4L;13
2024-08;MRC-DFI-4L;13
2024-09;MRC-DFI-4L;13
2024-10;MRC-DFI-4L;13
2024-11;MRC-DFI-4L;13
2024-12;MRC-DFI-4L;13
2025-01;MRC-DFI-4L;13
2025-02;MRC-DFI-4L;13
2025-03;MRC-DFI-4L;13
2025-04;MRC-DFI-4L;13
2025-05;MRC-DFI-4L;13
2025-06;MRC-DFI-4L;13
2025-07;MRC-DFI-4L;13
2025-08;MRC-DFI-4L;13
2025-09;MRC-DFI-4L;13
2025-10;MRC-DFI-4L;13
2025-11;MRC-DFI-4L;13
2025-12;MRC-DFI-4L;13
2020-01;MRC-FLT-OIL;54
2020-02;MRC-FLT-OIL;54
2020-03;MRC-FLT-OIL;54
2020-04;MRC-FLT-OIL;54
2020-05;MRC-FLT-OIL;54
2020-06;MRC-FLT-OIL;54
2020-07;MRC-FLT-OIL;54
2020-08;MRC-FLT-OIL;54
2020-09;MRC-FLT-OIL;54
2020-10;MRC-FLT-OIL;54
2020-11;MRC-FLT-OIL;54
2020-12;MRC-FLT-OIL;54
2021-01;MRC-FLT-OIL;55
2021-02;MRC-FLT-OIL;55
2021-03;MRC-FLT-OIL;55
2021-04;MRC-FLT-OIL;55
2021-05;MRC-FLT-OIL;55
2021-06;MRC-FLT-OIL;55
2021-07;MRC-FLT-OIL;55
2021-08;MRC-FLT-OIL;55
2021-09;MRC-FLT-OIL;55
2021-10;MRC-FLT-OIL;55
2021-11;MRC-FLT-OIL;55
2021-12;MRC-FLT-OIL;55
2022-01;MRC-FLT-OIL;56
2022-02;MRC-FLT-OIL;56
2022-03;MRC-FLT-OIL;57
2022-04;MRC-FLT-OIL;56
2022-05;MRC-FLT-OIL;56
2022-06;MRC-FLT-OIL;57
2022-07;MRC-FLT-OIL;56
2022-08;MRC-FLT-OIL;56
2022-09;MRC-FLT-OIL;56
2022-10;MRC-FLT-OIL;56
2022-11;MRC-FLT-OIL;56
2022-12;MRC-FLT-OIL;56
2023-01;MRC-FLT-OIL;57
2023-02;MRC-FLT-OIL;58
2023-03;MRC-FLT-OIL;57
2023-04;MRC-FLT-OIL;57
2023-05;MRC-FLT-OIL;57
2023-06;MRC-FLT-OIL;57
2023-07;MRC-FLT-OIL;57
2023-08;MRC-FLT-OIL;57
2023-09;MRC-FLT-OIL;58
2023-10;MRC-FLT-OIL;57
2023-11;MRC-FLT-OIL;57
2023-12;MRC-FLT-OIL;58
2024-01;MRC-FLT-OIL;58
2024-02;MRC-FLT-OIL;59
2024-03;MRC-FLT-OIL;58
2024-04;MRC-FLT-OIL;58
2024-05;MRC-FLT-OIL;59
2024-06;MRC-FLT-OIL;58
2024-07;MRC-FLT-OIL;58
2024-08;MRC-FLT-OIL;59
2024-09;MRC-FLT-OIL;58
2024-10;MRC-FLT-OIL;58
2024-11;MRC-FLT-OIL;59
2024-12;MRC-FLT-OIL;58
2025-01;MRC-FLT-OIL;60
2025-02;MRC-FLT-OIL;59
2025-03;MRC-FLT-OIL;59
2025-04;MRC-FLT-OIL;60
2025-05;MRC-FLT-OIL;60
2025-06;MRC-FLT-OIL;59
2025-07;MRC-FLT-OIL;59
2025-08;MRC-FLT-OIL;60
2025-09;MRC-FLT-OIL;59
2025-10;MRC-FLT-OIL;59
2025-11;MRC-FLT-OIL;60
2025-12;MRC-FLT-OIL;59
2020-01;MRC-FLT-FUEL;36
2020-02;MRC-FLT-FUEL;36
2020-03;MRC-FLT-FUEL;36
2020-04;MRC-FLT-FUEL;36
2020-05;MRC-FLT-FUEL;36
2020-06;MRC-FLT-FUEL;36
2020-07;MRC-FLT-FUEL;36
2020-08;MRC-FLT-FUEL;36
2020-09;MRC-FLT-FUEL;36
2020-10;MRC-FLT-FUEL;36
2020-11;MRC-FLT-FUEL;36
2020-12;MRC-FLT-FUEL;36
2021-01;MRC-FLT-FUEL;37
2021-02;MRC-FLT-FUEL;37
2021-03;MRC-FLT-FUEL;37
2021-04;MRC-FLT-FUEL;37
2021-05;MRC-FLT-FUEL;37
2021-06;MRC-FLT-FUEL;37
2021-07;MRC-FLT-FUEL;36
2021-08;MRC-FLT-FUEL;37
2021-09;MRC-FLT-FUEL;37
2021-10;MRC-FLT-FUEL;36
2021-11;MRC-FLT-FUEL;37
2021-12;MRC-FLT-FUEL;37
2022-01;MRC-FLT-FUEL;37
2022-02;MRC-FLT-FUEL;38
2022-03;MRC-FLT-FUEL;37
2022-04;MRC-FLT-FUEL;37
2022-05;MRC-FLT-FUEL;38
2022-06;MRC-FLT-FUEL;38
2022-07;MRC-FLT-FUEL;37
2022-08;MRC-FLT-FUEL;37
2022-09;MRC-FLT-FUEL;38
2022-10;MRC-FLT-FUEL;37
2022-11;MRC-FLT-FUEL;37
2022-12;MRC-FLT-FUEL;38
2023-01;MRC-FLT-FUEL;38
2023-02;MRC-FLT-FUEL;38
2023-03;MRC-FLT-FUEL;38
2023-04;MRC-FLT-FUEL;38
2023-05;MRC-FLT-FUEL;38
2023-06;MRC-FLT-FUEL;38
2023-07;MRC-FLT-FUEL;38
2023-08;MRC-FLT-FUEL;38
2023-09;MRC-FLT-FUEL;39
2023-10;MRC-FLT-FUEL;38
2023-11;MRC-FLT-FUEL;38
2023-12;MRC-FLT-FUEL;38
2024-01;MRC-FLT-FUEL;39
2024-02;MRC-FLT-FUEL;39
2024-03;MRC-FLT-FUEL;39
2024-04;MRC-FLT-FUEL;39
2024-05;MRC-FLT-FUEL;39
2024-06;MRC-FLT-FUEL;39
2024-07;MRC-FLT-FUEL;39
2024-08;MRC-FLT-FUEL;39
2024-09;MRC-FLT-FUEL;39
2024-10;MRC-FLT-FUEL;39
2024-11;MRC-FLT-FUEL;39
2024-12;MRC-FLT-FUEL;39
2025-01;MRC-FLT-FUEL;40
2025-02;MRC-FLT-FUEL;39
2025-03;MRC-FLT-FUEL;40
2025-04;MRC-FLT-FUEL;40
2025-05;MRC-FLT-FUEL;39
2025-06;MRC-FLT-FUEL;39
2025-07;MRC-FLT-FUEL;40
2025-08;MRC-FLT-FUEL;40
2025-09;MRC-FLT-FUEL;39
2025-10;MRC-FLT-FUEL;40
2025-11;MRC-FLT-FUEL;40
2025-12;MRC-FLT-FUEL;39
2020-01;MRC-FLT-WTR;30
2020-02;MRC-FLT-WTR;30
2020-03;MRC-FLT-WTR;30
2020-04;MRC-FLT-WTR;30
2020-05;MRC-FLT-WTR;30
2020-06;MRC-FLT-WTR;30
2020-07;MRC-FLT-WTR;30
2020-08;MRC-FLT-WTR;30
2020-09;MRC-FLT-WTR;30
2020-10;MRC-FLT-WTR;30
2020-11;MRC-FLT-WTR;30
2020-12;MRC-FLT-WTR;30
2021-01;MRC-FLT-WTR;31
2021-02;MRC-FLT-WTR;30
2021-03;MRC-FLT-WTR;31
2021-04;MRC-FLT-WTR;31
2021-05;MRC-FLT-WTR;30
2021-06;MRC-FLT-WTR;31
2021-07;MRC-FLT-WTR;31
2021-08;MRC-FLT-WTR;30
2021-09;MRC-FLT-WTR;31
2021-10;MRC-FLT-WTR;31
2021-11;MRC-FLT-WTR;30
2021-12;MRC-FLT-WTR;31
2022-01;MRC-FLT-WTR;31
2022-02;MRC-FLT-WTR;31
2022-03;MRC-FLT-WTR;31
2022-04;MRC-FLT-WTR;31
2022-05;MRC-FLT-WTR;31
2022-06;MRC-FLT-WTR;31
2022-07;MRC-FLT-WTR;31
2022-08;MRC-FLT-WTR;31
2022-09;MRC-FLT-WTR;31
2022-10;MRC-FLT-WTR;31
2022-11;MRC-FLT-WTR;31
2022-12;MRC-FLT-WTR;31
2023-01;MRC-FLT-WTR;32
2023-02;MRC-FLT-WTR;32
2023-03;MRC-FLT-WTR;32
2023-04;MRC-FLT-WTR;32
2023-05;MRC-FLT-WTR;32
2023-06;MRC-FLT-WTR;32
2023-07;MRC-FLT-WTR;32
2023-08;MRC-FLT-WTR;32
2023-09;MRC-FLT-WTR;32
2023-10;MRC-FLT-WTR;32
2023-11;MRC-FLT-WTR;32
2023-12;MRC-FLT-WTR;32
2024-01;MRC-FLT-WTR;32
2024-02;MRC-FLT-WTR;32
2024-03;MRC-FLT-WTR;33
2024-04;MRC-FLT-WTR;32
2024-05;MRC-FLT-WTR;32
2024-06;MRC-FLT-WTR;33
2024-07;MRC-FLT-WTR;32
2024-08;MRC-FLT-WTR;32
2024-09;MRC-FLT-WTR;33
2024-10;MRC-FLT-WTR;32
2024-11;MRC-FLT-WTR;32
2024-12;MRC-FLT-WTR;33
2025-01;MRC-FLT-WTR;33
2025-02;MRC-FLT-WTR;33
2025-03;MRC-FLT-WTR;33
2025-04;MRC-FLT-WTR;33
