fecha;cod_producto;unidades;precio_real
2024-10;MRC-4T-1L;43;11.83
2024-11;MRC-4T-1L;40;11.83
2024-12;MRC-4T-1L;34;11.83
2025-01;MRC-4T-1L;47;11.98
2025-02;MRC-4T-1L;40;11.98
2025-03;MRC-4T-1L;50;11.98
2025-04;MRC-4T-1L;58;11.98
2025-05;MRC-4T-1L;55;11.98
2025-06;MRC-4T-1L;61;11.98
2025-07;MRC-4T-1L;62;11.98
2025-08;MRC-4T-1L;53;11.98
2025-09;MRC-4T-1L;53;11.98
2025-10;MRC-4T-1L;52;11.98
2025-11;MRC-4T-1L;41;11.98
2025-12;MRC-4T-1L;40;11.98
2020-01;MRC-4T-4L;7;39.00
2020-02;MRC-4T-4L;7;39.00
2020-03;MRC-4T-4L;7;39.00
2020-04;MRC-4T-4L;9;39.00
2020-05;MRC-4T-4L;10;39.00
2020-06;MRC-4T-4L;9;39.00
2020-07;MRC-4T-4L;9;39.00
2020-08;MRC-4T-4L;9;39.00
2020-09;MRC-4T-4L;9;39.00
2020-10;MRC-4T-4L;8;39.00
2020-11;MRC-4T-4L;7;39.00
2020-12;MRC-4T-4L;7;39.00
2021-01;MRC-4T-4L;8;39.55
2021-02;MRC-4T-4L;8;39.55
2021-03;MRC-4T-4L;9;39.55
2021-04;MRC-4T-4L;10;39.55
2021-05;MRC-4T-4L;11;39.55
2021-06;MRC-4T-4L;11;39.55
2021-07;MRC-4T-4L;11;39.55
2021-08;MRC-4T-4L;11;39.55
2021-09;MRC-4T-4L;9;39.55
2021-10;MRC-4T-4L;9;39.55
2021-11;MRC-4T-4L;8;39.55
2021-12;MRC-4T-4L;7;39.55
2022-01;MRC-4T-4L;10;40.09
2022-02;MRC-4T-4L;8;40.09
2022-03;MRC-4T-4L;10;40.09
2022-04;MRC-4T-4L;12;40.09
2022-05;MRC-4T-4L;11;40.09
2022-06;MRC-4T-4L;13;40.09
2022-07;MRC-4T-4L;13;40.09
2022-08;MRC-4T-4L;13;40.09
2022-09;MRC-4T-4L;11;40.09
2022-10;MRC-4T-4L;11;40.09
2022-11;MRC-4T-4L;10;40.09
2022-12;MRC-4T-4L;8;40.09
2023-01;MRC-4T-4L;11;40.64
2023-02;MRC-4T-4L;10;40.64
2023-03;MRC-4T-4L;12;40.64
2023-04;MRC-4T-4L;14;40.64
2023-05;MRC-4T-4L;13;40.64
2023-06;MRC-4T-4L;15;40.64
2023-07;MRC-4T-4L;15;40.64
2023-08;MRC-4T-4L;13;40.64
2023-09;MRC-4T-4L;13;40.64
2023-10;MRC-4T-4L;13;40.64
2023-11;MRC-4T-4L;10;40.64
2023-12;MRC-4T-4L;10;40.64
2024-01;MRC-4T-4L;11;41.18
2024-02;MRC-4T-4L;11;41.18
2024-03;MRC-4T-4L;14;41.18
2024-04;MRC-4T-4L;16;41.18
2024-05;MRC-4T-4L;16;41.18
2024-06;MRC-4T-4L;17;41.18
2024-07;MRC-4T-4L;18;41.18
2024-08;MRC-4T-4L;15;41.18
2024-09;MRC-4T-4L;15;41.18
2024-10;MRC-4T-4L;15;41.18
2024-11;MRC-4T-4L;12;41.18
2024-12;MRC-4T-4L;11;41.18
2025-01;MRC-4T-4L;13;41.73
2025-02;MRC-4T-4L;13;41.73
2025-03;MRC-4T-4L;16;41.73
2025-04;MRC-4T-4L;16;41.73
2025-05;MRC-4T-4L;18;41.73
2025-06;MRC-4T-4L;20;41.73
2025-07;MRC-4T-4L;18;41.73
2025-08;MRC-4T-4L;18;41.73
2025-09;MRC-4T-4L;17;41.73
2025-10;MRC-4T-4L;17;41.73
2025-11;MRC-4T-4L;14;41.73
2025-12;MRC-4T-4L;13;41.73
2020-01;MRC-4T-25L;2;225.00
2020-02;MRC-4T-25L;2;225.00
2020-03;MRC-4T-25L;2;225.00
2020-04;MRC-4T-25L;2;225.00
2020-05;MRC-4T-25L;2;225.00
2020-06;MRC-4T-25L;2;225.00
2020-07;MRC-4T-25L;3;225.00
2020-08;MRC-4T-25L;2;225.00
2020-09;MRC-4T-25L;2;225.00
2020-10;MRC-4T-25L;2;225.00
2020-11;MRC-4T-25L;2;225.00
2020-12;MRC-4T-25L;2;225.00
2021-01;MRC-4T-25L;2;228.15
2021-02;MRC-4T-25L;2;228.15
2021-03;MRC-4T-25L;2;228.15
2021-04;MRC-4T-25L;2;228.15
2021-05;MRC-4T-25L;3;228.15
2021-06;MRC-4T-25L;3;228.15
2021-07;MRC-4T-25L;2;228.15
2021-08;MRC-4T-25L;2;228.15
2021-09;MRC-4T-25L;2;228.15
2021-10;MRC-4T-25L;2;228.15
2021-11;MRC-4T-25L;2;228.15
2021-12;MRC-4T-25L;2;228.15
2022-01;MRC-4T-25L;2;231.30
2022-02;MRC-4T-25L;2;231.30
2022-03;MRC-4T-25L;3;231.30
2022-04;MRC-4T-25L;3;231.30
2022-05;MRC-4T-25L;3;231.30
2022-06;MRC-4T-25L;3;231.30
2022-07;MRC-4T-25L;3;231.30
2022-08;MRC-4T-25L;3;231.30
2022-09;MRC-4T-25L;3;231.30
2022-10;MRC-4T-25L;2;231.30
2022-11;MRC-4T-25L;2;231.30
2022-12;MRC-4T-25L;2;231.30
2023-01;MRC-4T-25L;2;234.45
2023-02;MRC-4T-25L;2;234.45
2023-03;MRC-4T-25L;2;234.45
2023-04;MRC-4T-25L;3;234.45
2023-05;MRC-4T-25L;3;234.45
2023-06;MRC-4T-25L;3;234.45
2023-07;MRC-4T-25L;3;234.45
2023-08;MRC-4T-25L;3;234.45
2023-09;MRC-4T-25L;3;234.45
2023-10;MRC-4T-25L;3;234.45
2023-11;MRC-4T-25L;2;234.45
2023-12;MRC-4T-25L;2;234.45
2024-01;MRC-4T-25L;3;237.60
2024-02;MRC-4T-25L;3;237.60
2024-03;MRC-4T-25L;3;237.60
2024-04;MRC-4T-25L;3;237.60
2024-05;MRC-4T-25L;4;237.60
2024-06;MRC-4T-25L;3;237.60
2024-07;MRC-4T-25L;3;237.60
2024-08;MRC-4T-25L;3;237.60
2024-09;MRC-4T-25L;3;237.60
2024-10;MRC-4T-25L;3;237.60
2024-11;MRC-4T-25L;3;237.60
2024-12;MRC-4T-25L;2;237.60
2025-01;MRC-4T-25L;3;240.75
2025-02;MRC-4T-25L;2;240.75
2025-03;MRC-4T-25L;3;240.75
2025-04;MRC-4T-25L;4;240.75
2025-05;MRC-4T-25L;4;240.75
2025-06;MRC-4T-25L;4;240.75
2025-07;MRC-4T-25L;4;240.75
2025-08;MRC-4T-25L;4;240.75
2025-09;MRC-4T-25L;3;240.75
2025-10;MRC-4T-25L;3;240.75
2025-11;MRC-4T-25L;3;240.75
2025-12;MRC-4T-25L;2;240.75
2020-01;MRC-2T-1L;8;9.80
2020-02;MRC-2T-1L;8;9.80
2020-03;MRC-2T-1L;12;9.80
2020-04;MRC-2T-1L;14;9.80
2020-05;MRC-2T-1L;19;9.80
2020-06;MRC-2T-1L;25;9.80
2020-07;MRC-2T-1L;24;9.80
2020-08;MRC-2T-1L;23;9.80
2020-09;MRC-2T-1L;18;9.80
2020-10;MRC-2T-1L;13;9.80
2020-11;MRC-2T-1L;9;9.80
2020-12;MRC-2T-1L;8;9.80
2021-01;MRC-2T-1L;8;9.94
2021-02;MRC-2T-1L;8;9.94
2021-03;MRC-2T-1L;13;9.94
2021-04;MRC-2T-1L;15;9.94
2021-05;MRC-2T-1L;21;9.94
2021-06;MRC-2T-1L;27;9.94
2021-07;MRC-2T-1L;25;9.94
2021-08;MRC-2T-1L;25;9.94
2021-09;MRC-2T-1L;19;9.94
2021-10;MRC-2T-1L;12;9.94
2021-11;MRC-2T-1L;9;9.94
2021-12;MRC-2T-1L;8;9.94
2022-01;MRC-2T-1L;9;10.07
2022-02;MRC-2T-1L;9;10.07
2022-03;MRC-2T-1L;12;10.07
2022-04;MRC-2T-1L;16;10.07
2022-05;MRC-2T-1L;22;10.07
2022-06;MRC-2T-1L;28;10.07
2022-07;MRC-2T-1L;27;10.07
2022-08;MRC-2T-1L;26;10.07
2022-09;MRC-2T-1L;20;10.07
2022-10;MRC-2T-1L;13;10.07
2022-11;MRC-2T-1L;10;10.07
2022-12;MRC-2T-1L;9;10.07
2023-01;MRC-2T-1L;9;10.21
2023-02;MRC-2T-1L;9;10.21
2023-03;MRC-2T-1L;12;10.21
2023-04;MRC-2T-1L;17;10.21
2023-05;MRC-2T-1L;23;10.21
2023-06;MRC-2T-1L;26;10.21
2023-07;MRC-2T-1L;29;10.21
2023-08;MRC-2T-1L;28;10.21
2023-09;MRC-2T-1L;18;10.21
2023-10;MRC-2T-1L;13;10.21
2023-11;MRC-2T-1L;10;10.21
2023-12;MRC-2T-1L;9;10.21
2024-01;MRC-2T-1L;10;10.35
2024-02;MRC-2T-1L;10;10.35
2024-03;MRC-2T-1L;13;10.35
2024-04;MRC-2T-1L;18;10.35
2024-05;MRC-2T-1L;25;10.35
2024-06;MRC-2T-1L;27;10.35
2024-07;MRC-2T-1L;30;10.35
2024-08;MRC-2T-1L;30;10.35
2024-09;MRC-2T-1L;20;10.35
2024-10;MRC-2T-1L;14;10.35
2024-11;MRC-2T-1L;11;10.35
2024-12;MRC-2T-1L;9;10.35
2025-01;MRC-2T-1L;11;10.49
2025-02;MRC-2T-1L;9;10.49
2025-03;MRC-2T-1L;14;10.49
2025-04;MRC-2T-1L;19;10.49
2025-05;MRC-2T-1L;22;10.49
2025-06;MRC-2T-1L;29;10.49
2025-07;MRC-2T-1L;32;10.49
2025-08;MRC-2T-1L;31;10.49
2025-09;MRC-2T-1L;21;10.49
2025-10;MRC-2T-1L;15;10.49
2025-11;MRC-2T-1L;12;10.49
2025-12;MRC-2T-1L;9;10.49
2020-01;QSV-HPS-1L;7;14.90
2020-02;QSV-HPS-1L;5;14.90
2020-03;QSV-HPS-1L;7;14.90
2020-04;QSV-HPS-1L;8;14.90
2020-05;QSV-HPS-1L;8;14.90
2020-06;QSV-HPS-1L;8;14.90
2020-07;QSV-HPS-1L;9;14.90
2020-08;QSV-HPS-1L;7;14.90
2020-09;QSV-HPS-1L;7;14.90
2020-10;QSV-HPS-1L;7;14.90
2020-11;QSV-HPS-1L;6;14.90
2020-12;QSV-HPS-1L;6;14.90
2021-01;QSV-HPS-1L;6;15.11
2021-02;QSV-HPS-1L;6;15.11
2021-03;QSV-HPS-1L;7;15.11
2021-04;QSV-HPS-1L;9;15.11
2021-05;QSV-HPS-1L;8;15.11
2021-06;QSV-HPS-1L;9;15.11
2021-07;QSV-HPS-1L;9;15.11
2021-08;QSV-HPS-1L;8;15.11
2021-09;QSV-HPS-1L;8;15.11
2021-10;QSV-HPS-1L;8;15.11
2021-11;QSV-HPS-1L;6;15.11
2021-12;QSV-HPS-1L;6;15.11
2022-01;QSV-HPS-1L;7;15.32
2022-02;QSV-HPS-1L;6;15.32
2022-03;QSV-HPS-1L;8;15.32
2022-04;QSV-HPS-1L;8;15.32
2022-05;QSV-HPS-1L;9;15.32
2022-06;QSV-HPS-1L;10;15.32
2022-07;QSV-HPS-1L;9;15.32
2022-08;QSV-HPS-1L;9;15.32
2022-09;QSV-HPS-1L;9;15.32
2022-10;QSV-HPS-1L;8;15.32
2022-11;QSV-HPS-1L;7;15.32
2022-12;QSV-HPS-1L;7;15.32
2023-01;QSV-HPS-1L;7;15.53
2023-02;QSV-HPS-1L;7;15.53
2023-03;QSV-HPS-1L;9;15.53
2023-04;QSV-HPS-1L;9;15.53
2023-05;QSV-HPS-1L;10;15.53
2023-06;QSV-HPS-1L;11;15.53
2023-07;QSV-HPS-1L;9;15.53
2023-08;QSV-HPS-1L;9;15.53
2023-09;QSV-HPS-1L;9;15.53
2023-10;QSV-HPS-1L;8;15.53
2023-11;QSV-HPS-1L;7;15.53
2023-12;QSV-HPS-1L;7;15.53
2024-01;QSV-HPS-1L;8;15.73
2024-02;QSV-HPS-1L;8;15.73
2024-03;QSV-HPS-1L;8;15.73
2024-04;QSV-HPS-1L;9;15.73
2024-05;QSV-HPS-1L;10;15.73
2024-06;QSV-HPS-1L;12;15.73
2024-07;QSV-HPS-1L;10;15.73
2024-08;QSV-HPS-1L;10;15.73
2024-09;QSV-HPS-1L;10;15.73
2024-10;QSV-HPS-1L;8;15.73
2024-11;QSV-HPS-1L;8;15.73
2024-12;QSV-HPS-1L;8;15.73
2025-01;QSV-HPS-1L;8;15.94
2025-02;QSV-HPS-1L;8;15.94
2025-03;QSV-HPS-1L;9;15.94
2025-04;QSV-HPS-1L;10;15.94
2025-05;QSV-HPS-1L;11;15.94
2025-06;QSV-HPS-1L;11;15.94
2025-07;QSV-HPS-1L;11;15.94
2025-08;QSV-HPS-1L;11;15.94
2025-09;QSV-HPS-1L;9;15.94
2025-10;QSV-HPS-1L;9;15.94
2025-11;QSV-HPS-1L;8;15.94
2025-12;QSV-HPS-1L;8;15.94
2020-01;QSV-PST-200;5;7.50
2020-02;QSV-PST-200;5;7.50
2020-03;QSV-PST-200;5;7.50
2020-04;QSV-PST-200;5;7.50
2020-05;QSV-PST-200;5;7.50
2020-06;QSV-PST-200;5;7.50
2020-07;QSV-PST-200;5;7.50
2020-08;QSV-PST-200;5;7.50
2020-09;QSV-PST-200;5;7.50
2020-10;QSV-PST-200;5;7.50
2020-11;QSV-PST-200;5;7.50
2020-12;QSV-PST-200;5;7.50
2021-01;QSV-PST-200;5;7.61
2021-02;QSV-PST-200;5;7.61
2021-03;QSV-PST-200;6;7.61
2021-04;QSV-PST-200;5;7.61
2021-05;QSV-PST-200;5;7.61
2021-06;QSV-PST-200;6;7.61
2021-07;QSV-PST-200;5;7.61
2021-08;QSV-PST-200;5;7.61
2021-09;QSV-PST-200;6;7.61
2021-10;QSV-PST-200;5;7.61
2021-11;QSV-PST-200;5;7.61
2021-12;QSV-PST-200;5;7.61
2022-01;QSV-PST-200;5;7.71
2022-02;QSV-PST-200;6;7.71
2022-03;QSV-PST-200;5;7.71
2022-04;QSV-PST-200;5;7.71
2022-05;QSV-PST-200;6;7.71
2022-06;QSV-PST-200;5;7.71
2022-07;QSV-PST-200;5;7.71
2022-08;QSV-PST-200;6;7.71
2022-09;QSV-PST-200;6;7.71
2022-10;QSV-PST-200;5;7.71
2022-11;QSV-PST-200;6;7.71
2022-12;QSV-PST-200;6;7.71
2023-01;QSV-PST-200;6;7.82
2023-02;QSV-PST-200;6;7.82
2023-03;QSV-PST-200;6;7.82
2023-04;QSV-PST-200;6;7.82
2023-05;QSV-PST-200;6;7.82
2023-06;QSV-PST-200;5;7.82
2023-07;QSV-PST-200;6;7.82
2023-08;QSV-PST-200;6;7.82
2023-09;QSV-PST-200;5;7.82
2023-10;QSV-PST-200;6;7.82
2023-11;QSV-PST-200;6;7.82
2023-12;QSV-PST-200;5;7.82
2024-01;QSV-PST-200;6;7.92
2024-02;QSV-PST-200;6;7.92
2024-03;QSV-PST-200;6;7.92
2024-04;QSV-PST-200;6;7.92
2024-05;QSV-PST-200;7;7.92
2024-06;QSV-PST-200;6;7.92
2024-07;QSV-PST-200;6;7.92
2024-08;QSV-PST-200;6;7.92
2024-09;QSV-PST-200;6;7.92
2024-10;QSV-PST-200;6;7.92
2024-11;QSV-PST-200;6;7.92
2024-12;QSV-PST-200;6;7.92
2025-01;QSV-PST-200;7;8.03
2025-02;QSV-PST-200;6;8.03
2025-03;QSV-PST-200;6;8.03
2025-04;QSV-PST-200;7;8.03
2025-05;QSV-PST-200;6;8.03
2025-06;QSV-PST-200;6;8.03
2025-07;QSV-PST-200;7;8.03
2025-08;QSV-PST-200;6;8.03
2025-09;QSV-PST-200;6;8.03
2025-10;QSV-PST-200;7;8.03
2025-11;QSV-PST-200;7;8.03
2025-12;QSV-PST-200;6;8.03
2020-01;QSV-ANF-1L;9;6.80
2020-02;QSV-ANF-1L;9;6.80
2020-03;QSV-ANF-1L;10;6.80
2020-04;QSV-ANF-1L;9;6.80
2020-05;QSV-ANF-1L;9;6.80
2020-06;QSV-ANF-1L;10;6.80
2020-07;QSV-ANF-1L;9;6.80
2020-08;QSV-ANF-1L;9;6.80
2020-09;QSV-ANF-1L;9;6.80
2020-10;QSV-ANF-1L;9;6.80
2020-11;QSV-ANF-1L;9;6.80
2020-12;QSV-ANF-1L;9;6.80
2021-01;QSV-ANF-1L;9;6.90
2021-02;QSV-ANF-1L;10;6.90
2021-03;QSV-ANF-1L;9;6.90
2021-04;QSV-ANF-1L;9;6.90
2021-05;QSV-ANF-1L;10;6.90
2021-06;QSV-ANF-1L;9;6.90
2021-07;QSV-ANF-1L;9;6.90
2021-08;QSV-ANF-1L;10;6.90
2021-09;QSV-ANF-1L;10;6.90
2021-10;QSV-ANF-1L;9;6.90
2021-11;QSV-ANF-1L;10;6.90
2021-12;QSV-ANF-1L;10;6.90
2022-01;QSV-ANF-1L;10;6.99
2022-02;QSV-ANF-1L;10;6.99
2022-03;QSV-ANF-1L;9;6.99
2022-04;QSV-ANF-1L;10;6.99
2022-05;QSV-ANF-1L;10;6.99
2022-06;QSV-ANF-1L;9;6.99
2022-07;QSV-ANF-1L;10;6.99
2022-08;QSV-ANF-1L;10;6.99
2022-09;QSV-ANF-1L;9;6.99
2022-10;QSV-ANF-1L;10;6.99
2022-11;QSV-ANF-1L;10;6.99
2022-12;QSV-ANF-1L;9;6.99
2023-01;QSV-ANF-1L;11;7.09
2023-02;QSV-ANF-1L;9;7.09
2023-03;QSV-ANF-1L;10;7.09
2023-04;QSV-ANF-1L;10;7.09
2023-05;QSV-ANF-1L;9;7.09
2023-06;QSV-ANF-1L;10;7.09
2023-07;QSV-ANF-1L;10;7.09
2023-08;QSV-ANF-1L;11;7.09
2023-09;QSV-ANF-1L;10;7.09
2023-10;QSV-ANF-1L;10;7.09
2023-11;QSV-ANF-1L;11;7.09
2023-12;QSV-ANF-1L;10;7.09
2024-01;QSV-ANF-1L;11;7.18
2024-02;QSV-ANF-1L;10;7.18
2024-03;QSV-ANF-1L;11;7.18
2024-04;QSV-ANF-1L;11;7.18
2024-05;QSV-ANF-1L;10;7.18
2024-06;QSV-ANF-1L;10;7.18
2024-07;QSV-ANF-1L;11;7.18
2024-08;QSV-ANF-1L;10;7.18
2024-09;QSV-ANF-1L;10;7.18
2024-10;QSV-ANF-1L;11;7.18
2024-11;QSV-ANF-1L;11;7.18
2024-12;QSV-ANF-1L;10;7.18
2025-01;QSV-ANF-1L;10;7.28
2025-02;QSV-ANF-1L;11;7.28
2025-03;QSV-ANF-1L;11;7.28
2025-04;QSV-ANF-1L;12;7.28
2025-05;QSV-ANF-1L;11;7.28
2025-06;QSV-ANF-1L;11;7.28
2025-07;QSV-ANF-1L;12;7.28
2025-08;QSV-ANF-1L;10;7.28
2025-09;QSV-ANF-1L;11;7.28
2025-10;QSV-ANF-1L;11;7.28
2025-11;QSV-ANF-1L;10;7.28
2025-12;QSV-ANF-1L;11;7.28
2020-01;MRC-DFI-4L;2;46.00
2020-02;MRC-DFI-4L;2;46.00
2020-03;MRC-DFI-4L;3;46.00
2020-04;MRC-DFI-4L;4;46.00
2020-05;MRC-DFI-4L;5;46.00
2020-06;MRC-DFI-4L;6;46.00
2020-07;MRC-DFI-4L;7;46.00
2020-08;MRC-DFI-4L;7;46.00
2020-09;MRC-DFI-4L;5;46.00
2020-10;MRC-DFI-4L;3;46.00
2020-11;MRC-DFI-4L;3;46.00
2020-12;MRC-DFI-4L;2;46.00
2021-01;MRC-DFI-4L;3;46.64
2021-02;MRC-DFI-4L;2;46.64
2021-03;MRC-DFI-4L;3;46.64
2021-04;MRC-DFI-4L;5;46.64
2021-05;MRC-DFI-4L;5;46.64
2021-06;MRC-DFI-4L;7;46.64
2021-07;MRC-DFI-4L;8;46.64
2021-08;MRC-DFI-4L;6;46.64
2021-09;MRC-DFI-4L;5;46.64
2021-10;MRC-DFI-4L;4;46.64
2021-11;MRC-DFI-4L;3;46.64
2021-12;MRC-DFI-4L;2;46.64
2022-01;MRC-DFI-4L;2;47.29
2022-02;MRC-DFI-4L;2;47.29
2022-03;MRC-DFI-4L;4;47.29
2022-04;MRC-DFI-4L;5;47.29
2022-05;MRC-DFI-4L;6;47.29
2022-06;MRC-DFI-4L;8;47.29
2022-07;MRC-DFI-4L;8;47.29
2022-08;MRC-DFI-4L;7;47.29
2022-09;MRC-DFI-4L;6;47.29
2022-10;MRC-DFI-4L;4;47.29
2022-11;MRC-DFI-4L;3;47.29
2022-12;MRC-DFI-4L;2;47.29
2023-01;MRC-DFI-4L;3;47.93
2023-02;MRC-DFI-4L;3;47.93
2023-03;MRC-DFI-4L;4;47.93
2023-04;MRC-DFI-4L;5;47.93
2023-05;MRC-DFI-4L;7;47.93
2023-06;MRC-DFI-4L;8;47.93
2023-07;MRC-DFI-4L;8;47.93
2023-08;MRC-DFI-4L;8;47.93
2023-09;MRC-DFI-4L;6;47.93
2023-10;MRC-DFI-4L;4;47.93
2023-11;MRC-DFI-4L;3;47.93
2023-12;MRC-DFI-4L;3;47.93
2024-01;MRC-DFI-4L;3;48.58
2024-02;MRC-DFI-4L;3;48.58
2024-03;MRC-DFI-4L;5;48.58
2024-04;MRC-DFI-4L;5;48.58
2024-05;MRC-DFI-4L;7;48.58
2024-06;MRC-DFI-4L;9;48.58
2024-07;MRC-DFI-4L;9;48.58
2024-08;MRC-DFI-4L;9;48.58
2024-09;MRC-DFI-4L;7;48.58
2024-10;MRC-DFI-4L;4;48.58
2024-11;MRC-DFI-4L;3;48.58
2024-12;MRC-DFI-4L;3;48.58
2025-01;MRC-DFI-4L;3;49.22
2025-02;MRC-DFI-4L;3;49.22
2025-03;MRC-DFI-4L;4;49.22
2025-04;MRC-DFI-4L;6;49.22
2025-05;MRC-DFI-4L;8;49.22
2025-06;MRC-DFI-4L;10;49.22
2025-07;MRC-DFI-4L;10;49.22
2025-08;MRC-DFI-4L;10;49.22
2025-09;MRC-DFI-4L;7;49.22
2025-10;MRC-DFI-4L;5;49.22
2025-11;MRC-DFI-4L;4;49.22
2025-12;MRC-DFI-4L;3;49.22
2020-01;MRC-FLT-OIL;15;9.50
2020-02;MRC-FLT-OIL;15;9.50
2020-03;MRC-FLT-OIL;18;9.50
2020-04;MRC-FLT-OIL;18;9.50
2020-05;MRC-FLT-OIL;20;9.50
2020-06;MRC-FLT-OIL;22;9.50
2020-07;MRC-FLT-OIL;23;9.50
2020-08;MRC-FLT-OIL;19;9.50
2020-09;MRC-FLT-OIL;19;9.50
2020-10;MRC-FLT-OIL;19;9.50
2020-11;MRC-FLT-OIL;15;9.50
2020-12;MRC-FLT-OIL;15;9.50
2021-01;MRC-FLT-OIL;17;9.63
2021-02;MRC-FLT-OIL;16;9.63
2021-03;MRC-FLT-OIL;20;9.63
2021-04;MRC-FLT-OIL;20;9.63
2021-05;MRC-FLT-OIL;23;9.63
2021-06;MRC-FLT-OIL;25;9.63
2021-07;MRC-FLT-OIL;22;9.63
2021-08;MRC-FLT-OIL;22;9.63
2021-09;MRC-FLT-OIL;22;9.63
2021-10;MRC-FLT-OIL;18;9.63
2021-11;MRC-FLT-OIL;17;9.63
2021-12;MRC-FLT-OIL;17;9.63
2022-01;MRC-FLT-OIL;19;9.77
2022-02;MRC-FLT-OIL;18;9.77
2022-03;MRC-FLT-OIL;23;9.77
2022-04;MRC-FLT-OIL;23;9.77
2022-05;MRC-FLT-OIL;25;9.77
2022-06;MRC-FLT-OIL;28;9.77
2022-07;MRC-FLT-OIL;25;9.77
2022-08;MRC-FLT-OIL;24;9.77
2022-09;MRC-FLT-OIL;24;9.77
2022-10;MRC-FLT-OIL;21;9.77
2022-11;MRC-FLT-OIL;19;9.77
2022-12;MRC-FLT-OIL;19;9.77
2023-01;MRC-FLT-OIL;21;9.90
2023-02;MRC-FLT-OIL;21;9.90
2023-03;MRC-FLT-OIL;22;9.90
2023-04;MRC-FLT-OIL;26;9.90
2023-05;MRC-FLT-OIL;28;9.90
2023-06;MRC-FLT-OIL;27;9.90
2023-07;MRC-FLT-OIL;28;9.90
2023-08;MRC-FLT-OIL;27;9.90
2023-09;MRC-FLT-OIL;27;9.90
2023-10;MRC-FLT-OIL;23;9.90
2023-11;MRC-FLT-OIL;21;9.90
2023-12;MRC-FLT-OIL;21;9.90
2024-01;MRC-FLT-OIL;24;10.03
2024-02;MRC-FLT-OIL;23;10.03
2024-03;MRC-FLT-OIL;25;10.03
2024-04;MRC-FLT-OIL;29;10.03
2024-05;MRC-FLT-OIL;32;10.03
2024-06;MRC-FLT-OIL;30;10.03
2024-07;MRC-FLT-OIL;31;10.03
2024-08;MRC-FLT-OIL;31;10.03
2024-09;MRC-FLT-OIL;26;10.03
2024-10;MRC-FLT-OIL;26;10.03
2024-11;MRC-FLT-OIL;24;10.03
2024-12;MRC-FLT-OIL;20;10.03
2025-01;MRC-FLT-OIL;26;10.17
2025-02;MRC-FLT-OIL;22;10.17
2025-03;MRC-FLT-OIL;28;10.17
2025-04;MRC-FLT-OIL;32;10.17
2025-05;MRC-FLT-OIL;36;10.17
2025-06;MRC-FLT-OIL;34;10.17
2025-07;MRC-FLT-OIL;35;10.17
2025-08;MRC-FLT-OIL;35;10.17
2025-09;MRC-FLT-OIL;29;10.17
2025-10;MRC-FLT-OIL;29;10.17
2025-11;MRC-FLT-OIL;27;10.17
2025-12;MRC-FLT-OIL;22;10.17
2020-01;MRC-FLT-FUEL;10;6.20
2020-02;MRC-FLT-FUEL;10;6.20
